source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,uncertainty,level,magnification,embedding_recipe,downstream_protocol,cohort_access,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/ER/BCNB,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,ER on BCNB,ctranspath.phikonv2.t2.er.bcnb.auroc,er.bcnb.auroc,auroc,0.800,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/PR/BCNB,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,PR on BCNB,ctranspath.phikonv2.t2.pr.bcnb.auroc,pr.bcnb.auroc,auroc,0.788,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/HER2/BCNB,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,HER2 on BCNB,ctranspath.phikonv2.t2.her2.bcnb.auroc,her2.bcnb.auroc,auroc,0.678,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/HER2/HEROHE,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,HER2 on HEROHE,ctranspath.phikonv2.t2.her2.herohe.auroc,her2.herohe.auroc,auroc,0.723,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/IDH1/EBRAINS,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,IDH1 on EBRAINS,ctranspath.phikonv2.t2.idh1.ebrains.auroc,idh1.ebrains.auroc,auroc,0.895,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/ISUP/PANDA,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,ISUP on PANDA,ctranspath.phikonv2.t2.isup.panda.auroc,isup.panda.auroc,auroc,0.923,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/metastasis/Camelyon16,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,metastasis on Camelyon16,ctranspath.phikonv2.t2.metastasis.camelyon16.auroc,metastasis.camelyon16.auroc,auroc,0.896,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/MSI/Cy1,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,MSI on Cy1,ctranspath.phikonv2.t2.msi.cy1.auroc,msi.cy1.auroc,auroc,0.838,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/MSI/PAIP,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,MSI on PAIP,ctranspath.phikonv2.t2.msi.paip.auroc,msi.paip.auroc,auroc,0.977,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon-v2 Table 2,CTransPath/RCC subtype/DHMC,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_v2_external,RCC subtype on DHMC,ctranspath.phikonv2.t2.rcc_subtype.dhmc.auroc,rcc_subtype.dhmc.auroc,auroc,0.996,fraction,"median over 10,000 bootstrap repetitions",slide,1.0 µm/px,CTransPath mean-token features with ABMIL,external-cohort ABMIL evaluation,public,https://arxiv.org/abs/2409.09173v1,arXiv 2409.09173v1|Table 2|CTransPath,arXiv v1,52e26d832d27a6d51ce2b68da462f6a6ad851236fc1efafb9b1258359fc6b633,secondary_only_excluded,Comparator value was not reported by the CTransPath authors; PAIP is additionally flagged for pretraining overlap.
official_secondary_comparator,Phikon Supplementary Table F1,CTransPath/Camelyon16 Meta,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_primary,Camelyon16 Meta,ctranspath.phikon2024.f1.camelyon16_meta,camelyon16_meta,auroc,0.939,fraction,5-fold nested CV dispersion retained in source snapshot,slide,20x / source checkpoint recipe,CTransPath frozen features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|CTransPath,official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,secondary_only_excluded,Secondary comparator evidence only.
official_secondary_comparator,Phikon Supplementary Table F1,CTransPath/TCGA-BRCA Hist,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_primary,TCGA-BRCA Hist,ctranspath.phikon2024.f1.tcga-brca_hist,tcga-brca_hist,auroc,0.954,fraction,5-fold nested CV dispersion retained in source snapshot,slide,20x / source checkpoint recipe,CTransPath frozen features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|CTransPath,official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,secondary_only_excluded,Secondary comparator evidence only.
official_secondary_comparator,Phikon Supplementary Table F1,CTransPath/TCGA-BRCA HRD,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_primary,TCGA-BRCA HRD,ctranspath.phikon2024.f1.tcga-brca_hrd,tcga-brca_hrd,auroc,0.768,fraction,5-fold nested CV dispersion retained in source snapshot,slide,20x / source checkpoint recipe,CTransPath frozen features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|CTransPath,official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,secondary_only_excluded,Secondary comparator evidence only.
official_secondary_comparator,Phikon Supplementary Table F1,CTransPath/TCGA-BRCA Mol,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_primary,TCGA-BRCA Mol,ctranspath.phikon2024.f1.tcga-brca_mol,tcga-brca_mol,auroc,0.808,fraction,5-fold nested CV dispersion retained in source snapshot,slide,20x / source checkpoint recipe,CTransPath frozen features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|CTransPath,official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,secondary_only_excluded,Secondary comparator evidence only.
official_secondary_comparator,Phikon Supplementary Table F1,CTransPath/TCGA-BRCA OS,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_primary,TCGA-BRCA OS,ctranspath.phikon2024.f1.tcga-brca_os,tcga-brca_os,c_index,0.650,fraction,5-fold nested CV dispersion retained in source snapshot,slide,20x / source checkpoint recipe,CTransPath frozen features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|CTransPath,official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,secondary_only_excluded,Secondary comparator evidence only.
official_secondary_comparator,Phikon Supplementary Table F1,CTransPath/TCGA-CRC MSI,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_primary,TCGA-CRC MSI,ctranspath.phikon2024.f1.tcga-crc_msi,tcga-crc_msi,auroc,0.881,fraction,5-fold nested CV dispersion retained in source snapshot,slide,20x / source checkpoint recipe,CTransPath frozen features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|CTransPath,official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,secondary_only_excluded,Secondary comparator evidence only.
official_secondary_comparator,Phikon Supplementary Table F1,CTransPath/TCGA-COAD OS,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_primary,TCGA-COAD OS,ctranspath.phikon2024.f1.tcga-coad_os,tcga-coad_os,c_index,0.601,fraction,5-fold nested CV dispersion retained in source snapshot,slide,20x / source checkpoint recipe,CTransPath frozen features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|CTransPath,official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,secondary_only_excluded,Secondary comparator evidence only.
official_secondary_comparator,Phikon Supplementary Table F1,CTransPath/TCGA-NSCLC CType,CTransPath,ctranspath,official GitHub checkpoint; exact file revision not reported,phikon_primary,TCGA-NSCLC CType,ctranspath.phikon2024.f1.tcga-nsclc_ctype,tcga-nsclc_ctype,auroc,0.973,fraction,5-fold nested CV dispersion retained in source snapshot,slide,20x / source checkpoint recipe,CTransPath frozen features,ABMIL; 5x5 nested CV,public,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v3,MedRxiv supplement|Table F1|CTransPath,official supplement asset,dd73798e6b34e317a205bec036318388d60c33da3af4326690f51ca357b96faa,secondary_only_excluded,Secondary comparator evidence only.
